tile_id,image_path,mask_path,klass,source,source_record,source_class,scene_stem,geographic_component_id,oil_fraction,invalid_pixel_fraction,split,mean_value,dark_fraction,published_partition,raw_image_path,raw_mask_path
sos_train_clean_sentinel_10,data/tiles/images/sos_train_clean_sentinel_10.npy,,clean,sos,sos,clean,sentinel_10,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.3773244222005208,,train,raw_downloads/SOS/images/images/train/sentinel_10.png,raw_downloads/SOS/masks/masks/train/sentinel_10.png
sos_train_clean_sentinel_1022,data/tiles/images/sos_train_clean_sentinel_1022.npy,,clean,sos,sos,clean,sentinel_1022,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.39856286142386643,,train,raw_downloads/SOS/images/images/train/sentinel_1022.png,raw_downloads/SOS/masks/masks/train/sentinel_1022.png
sos_train_clean_sentinel_113,data/tiles/images/sos_train_clean_sentinel_113.npy,,clean,sos,sos,clean,sentinel_113,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.3251153085746017,,train,raw_downloads/SOS/images/images/train/sentinel_113.png,raw_downloads/SOS/masks/masks/train/sentinel_113.png
sos_train_clean_sentinel_134,data/tiles/images/sos_train_clean_sentinel_134.npy,,clean,sos,sos,clean,sentinel_134,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.41669700472962623,,train,raw_downloads/SOS/images/images/train/sentinel_134.png,raw_downloads/SOS/masks/masks/train/sentinel_134.png
sos_train_clean_sentinel_1551,data/tiles/images/sos_train_clean_sentinel_1551.npy,,clean,sos,sos,clean,sentinel_1551,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.623155122644761,,train,raw_downloads/SOS/images/images/train/sentinel_1551.png,raw_downloads/SOS/masks/masks/train/sentinel_1551.png
sos_train_clean_sentinel_1554,data/tiles/images/sos_train_clean_sentinel_1554.npy,,clean,sos,sos,clean,sentinel_1554,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.6214834774241728,,train,raw_downloads/SOS/images/images/train/sentinel_1554.png,raw_downloads/SOS/masks/masks/train/sentinel_1554.png
sos_train_clean_sentinel_1557,data/tiles/images/sos_train_clean_sentinel_1557.npy,,clean,sos,sos,clean,sentinel_1557,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.5791464412913603,,train,raw_downloads/SOS/images/images/train/sentinel_1557.png,raw_downloads/SOS/masks/masks/train/sentinel_1557.png
sos_train_clean_sentinel_1559,data/tiles/images/sos_train_clean_sentinel_1559.npy,,clean,sos,sos,clean,sentinel_1559,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.5365700516046262,,train,raw_downloads/SOS/images/images/train/sentinel_1559.png,raw_downloads/SOS/masks/masks/train/sentinel_1559.png
sos_train_clean_sentinel_1561,data/tiles/images/sos_train_clean_sentinel_1561.npy,,clean,sos,sos,clean,sentinel_1561,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.5371405508003982,,train,raw_downloads/SOS/images/images/train/sentinel_1561.png,raw_downloads/SOS/masks/masks/train/sentinel_1561.png
sos_train_clean_sentinel_1564,data/tiles/images/sos_train_clean_sentinel_1564.npy,,clean,sos,sos,clean,sentinel_1564,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.5438389796836703,,train,raw_downloads/SOS/images/images/train/sentinel_1564.png,raw_downloads/SOS/masks/masks/train/sentinel_1564.png
sos_train_clean_sentinel_1574,data/tiles/images/sos_train_clean_sentinel_1574.npy,,clean,sos,sos,clean,sentinel_1574,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.5885027717141544,,train,raw_downloads/SOS/images/images/train/sentinel_1574.png,raw_downloads/SOS/masks/masks/train/sentinel_1574.png
sos_train_clean_sentinel_1577,data/tiles/images/sos_train_clean_sentinel_1577.npy,,clean,sos,sos,clean,sentinel_1577,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.6403068392884498,,train,raw_downloads/SOS/images/images/train/sentinel_1577.png,raw_downloads/SOS/masks/masks/train/sentinel_1577.png
sos_train_clean_sentinel_1579,data/tiles/images/sos_train_clean_sentinel_1579.npy,,clean,sos,sos,clean,sentinel_1579,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.5298089719286152,,train,raw_downloads/SOS/images/images/train/sentinel_1579.png,raw_downloads/SOS/masks/masks/train/sentinel_1579.png
sos_train_clean_sentinel_1580,data/tiles/images/sos_train_clean_sentinel_1580.npy,,clean,sos,sos,clean,sentinel_1580,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.5562024883195466,,train,raw_downloads/SOS/images/images/train/sentinel_1580.png,raw_downloads/SOS/masks/masks/train/sentinel_1580.png
sos_train_clean_sentinel_170,data/tiles/images/sos_train_clean_sentinel_170.npy,,clean,sos,sos,clean,sentinel_170,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.15469372319240196,,train,raw_downloads/SOS/images/images/train/sentinel_170.png,raw_downloads/SOS/masks/masks/train/sentinel_170.png
sos_train_clean_sentinel_1792,data/tiles/images/sos_train_clean_sentinel_1792.npy,,clean,sos,sos,clean,sentinel_1792,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.36747669893152574,,train,raw_downloads/SOS/images/images/train/sentinel_1792.png,raw_downloads/SOS/masks/masks/train/sentinel_1792.png
sos_train_clean_sentinel_1793,data/tiles/images/sos_train_clean_sentinel_1793.npy,,clean,sos,sos,clean,sentinel_1793,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.4027181587967218,,train,raw_downloads/SOS/images/images/train/sentinel_1793.png,raw_downloads/SOS/masks/masks/train/sentinel_1793.png
sos_train_clean_sentinel_1806,data/tiles/images/sos_train_clean_sentinel_1806.npy,,clean,sos,sos,clean,sentinel_1806,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.32981274174708947,,train,raw_downloads/SOS/images/images/train/sentinel_1806.png,raw_downloads/SOS/masks/masks/train/sentinel_1806.png
sos_train_clean_sentinel_1841,data/tiles/images/sos_train_clean_sentinel_1841.npy,,clean,sos,sos,clean,sentinel_1841,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.3113718070235907,,train,raw_downloads/SOS/images/images/train/sentinel_1841.png,raw_downloads/SOS/masks/masks/train/sentinel_1841.png
sos_train_clean_sentinel_1865,data/tiles/images/sos_train_clean_sentinel_1865.npy,,clean,sos,sos,clean,sentinel_1865,SOS_NOT_GEOREFERENCED,0.0,0.0,train,0.3663784849877451,,train,raw_downloads/SOS/images/images/train/sentinel_1865.png,raw_downloads/SOS/masks/masks/train/sentinel_1865.png
